date,band,venue,public_url,setlist,note
2022-05-06,PUP,Franklin Music Hall (Electric Factory),https://www.dropbox.com/sh/gikkj39eeblbugd/AAAiu180F-JQQ66jRzr7_EIEa?dl=0,https://www.setlist.fm/setlist/pup/2022/franklin-music-hall-philadelphia-pa-4bb7f3ee.html,
2022-05-06,Sheer Mag,Franklin Music Hall (Electric Factory),https://www.dropbox.com/sh/8f7rbv37rffk7k7/AADNx1TXVOEAItnrm7x30A4ba?dl=0,,
2022-05-06,Pinkshift,Franklin Music Hall (Electric Factory),https://www.dropbox.com/sh/q1zw25t6c2abqrh/AADj1oWiX6sKH0Sa3UQ5ShK1a?dl=0,,
2014-02-17,The Deadmen,World Cafe Live,,,
2014-02-17,Maitland,World Cafe Live,,,
2014-02-17,The Lawsuits,World Cafe Live,,,
2014-02-17,Ali Wadsworth,World Cafe Live,,,
2014-02-17,Chill Moody,World Cafe Live,,,
2014-02-17,The Living Sample,World Cafe Live,,,
2022-04-24,Pedro the Lion,Union Transfer,,https://www.setlist.fm/setlist/pedro-the-lion/2022/union-transfer-philadelphia-pa-73b60295.html,
2022-04-24,Oceanator,Union Transfer,,https://www.setlist.fm/setlist/oceanator/2022/union-transfer-philadelphia-pa-5bb6677c.html,
2008-05-10,The Cure,Spectrum,,https://www.setlist.fm/setlist/the-cure/2008/wachovia-spectrum-philadelphia-pa-53d69341.html,
2008-05-10,65daysofstatic,Spectrum,,https://www.setlist.fm/setlist/65daysofstatic/2008/wachovia-spectrum-philadelphia-pa-53dedb95.html,
2009-07-17,Ween,The Stone Pony,,https://www.setlist.fm/setlist/ween/2009/the-stone-pony-asbury-park-nj-13d489ad.html,
2019-11-23,Boston Manor,The Foundry,,https://www.setlist.fm/setlist/boston-manor/2019/the-foundry-at-the-fillmore-philadelphia-pa-639a3e7b.html,
2022-03-26,Gabrielle Cavassa,SOUTH,https://www.dropbox.com/home/Apps/concert.log-media/2022-03-26/Gabrielle%20Cavassa,,
2016-04-24,Into It. Over It.,Creep Records,,,
2008-08-22,Underoath,Franklin Music Hall (Electric Factory),,,
2008-08-22,Saosin,Franklin Music Hall (Electric Factory),,,
2008-08-22,The Devil Wears Prada,Franklin Music Hall (Electric Factory),,,
2008-08-22,P.O.S.,Franklin Music Hall (Electric Factory),,,
2011-02-02,Aaron Gillespie,Lebanon Valley College,,,
2009-03-19,Fireflight,Lebanon Valley College,,https://www.setlist.fm/setlist/fireflight/2009/lebanon-valley-college-annville-pa-6bc57612.html,
